Date,Count,Total,Time,Time of Day,Words per Minute,Times per Day
11/1/2021,1682,1682,82,Evening,20.51219512,1
11/2/2021,1723,3405,74,Morning and Evening,23.28378378,2
11/3/2021,1204,4609,64,Morning,18.8125,1
11/4/2021,1390,5999,103,Morning and Evening,13.49514563,2
11/5/2021,1756,7755,58,Morning,30.27586207,1
11/6/2021,2329,10084,106,Morning,21.97169811,1
11/7/2021,1874,11958,82,Morning,22.85365854,1
11/8/2021,1744,13702,71,Afternoon and Evening,24.56338028,2
11/9/2021,1652,15354,70,Evening,23.6,1
11/10/2021,1582,16936,65,Morning,24.33846154,1
11/11/2021,1755,18691,55,Morning,31.90909091,1
11/12/2021,1755,20446,68,Morning,25.80882353,1
11/13/2021,1666,22112,64,Morning,26.03125,1
11/14/2021,,,,,,
11/15/2021,,,,,,
11/16/2021,,,,,,
11/17/2021,,,,,,
11/18/2021,,,,,,
11/19/2021,,,,,,
11/20/2021,,,,,,
11/21/2021,,,,,,
11/22/2021,,,,,,
11/23/2021,,,,,,
11/24/2021,,,,,,
11/25/2021,,,,,,
11/26/2021,,,,,,
11/27/2021,,,,,,
11/28/2021,,,,,,
11/29/2021,,,,,,
11/30/2021,,,,,,
